"es","en","fr","de","it","pt","nl","sv","da","fi","no"
"Lenguaje de Programación Logos","Logos Programming Language","Langage de Programmation Logos","Programmiersprache Logos","Linguaggio di Programmazione Logos","Linguagem de Programação Logos","Programmeertaal Logos","Programmeringsspråket Logos","Programmeringssproget Logos","Ohjelmointikieli Logos","Programmeringsspråket Logos"
"Logos","Logos","Logos","Logos","Logos","Logos","Logos","Logos","Logos","Logos","Logos"
"Inicio","Home","Accueil","Start","Inizio","Início","Start","Start","Start","Aloitus","Start"
"Características","Features","Fonctionnalités","Funktionen","Caratteristiche","Funcionalidades","Kenmerken","Funktioner","Funktioner","Ominaisuudet","Funksjoner"
"Sintaxis","Syntax","Syntaxe","Syntax","Sintassi","Sintaxe","Syntax","Syntax","Syntaks","Syntaksi","Syntaks"
"Ejemplos","Examples","Exemples","Beispiele","Esempi","Exemplos","Voorbeelden","Exempel","Eksempler","Esimerkit","Eksempler"
"Palabras clave","Keywords","Mots-clés","Schlüsselwörter","Parole chiave","Palavras-chave","Sleutelwoorden","Nyckelord","Nøgleord","Avainsanat","Nøkkelord"
"Núcleo","Core","Noyau","Kern","Nucleo","Núcleo","Kern","Kärna","Kerne","Ydin","Kjerne"
"FAQ","FAQ","FAQ","FAQ","FAQ","FAQ","FAQ","FAQ","FAQ","UKK","FAQ"
"Descargar","Download","Télécharger","Herunterladen","Scarica","Transferir","Downloaden","Ladda ner","Download","Lataa","Last ned"
"Documentación","Documentation","Documentation","Dokumentation","Documentazione","Documentação","Documentatie","Dokumentation","Dokumentation","Dokumentaatio","Dokumentasjon"
"GitHub","GitHub","GitHub","GitHub","GitHub","GitHub","GitHub","GitHub","GitHub","GitHub","GitHub"
"Abrir menú","Open menu","Ouvrir le menu","Menü öffnen","Apri menu","Abrir menu","Menu openen","Öppna meny","Åbn menu","Avaa valikko","Åpne meny"
"Simplicidad pythonica, léxico greco-latino y un núcleo minimalista","Pythonic simplicity, Greco-Latin lexicon and a minimalist core","Simplicité pythonique, lexique gréco-latin et un noyau minimaliste","Pythonische Einfachheit, griechisch-lateinisches Lexikon und ein minimalistischer Kern","Semplicità pythonica, lessico greco-latino e un nucleo minimalista","Simplicidade pythonica, léxico greco-latino e um núcleo minimalista","Python-achtige eenvoud, Grieks-Latijns lexicon en een minimalistische kern","Pythonisk enkelhet, grekisk-latinskt lexikon och en minimalistisk kärna","Pythonisk enkelhed, græsk-latinsk leksikon og en minimalistisk kerne","Python-tyylinen yksinkertaisuus, kreikkalais-latinalainen sanasto ja minimalistinen ydin","Pythonisk enkelhet, gresk-latinsk leksikon og en minimalistisk kjerne"
"Indentación","Indentation","Indentation","Einrückung","Indentazione","Indentação","Inspringing","Indentering","Indrykning","Sisennys","Innrykk"
"Minimalista","Minimalist","Minimaliste","Minimalistisch","Minimalista","Minimalista","Minimalistisch","Minimalistisk","Minimalistisk","Minimalistinen","Minimalistisk"
